[INFO|2026-05-27 12:03:00] llamafactory.launcher:144 >> Initializing 4 distributed tasks at: 127.0.0.1:48473
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 1, world size: 4, device: cuda:1, distributed training: True, compute dtype: torch.bfloat16
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 3, world size: 4, device: cuda:3, distributed training: True, compute dtype: torch.bfloat16
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 2, world size: 4, device: cuda:2, distributed training: True, compute dtype: torch.bfloat16
[WARNING|2026-05-27 12:05:33] llamafactory.hparams.parser:149 >> We recommend enable `upcast_layernorm` in quantized training.
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:144 >> Set `ddp_find_unused_parameters` to False in DDP training since LoRA is enabled.
[INFO|2026-05-27 12:05:33] llamafactory.hparams.parser:523 >> Process rank: 0, world size: 4, device: cuda:0, distributed training: True, compute dtype: torch.bfloat16
[WARNING|2026-05-27 12:05:44] llamafactory.data.template:149 >> You are using reasoning template, please add `_nothink` suffix if the model is not a reasoning model. e.g., qwen3_vl_nothink
[INFO|2026-05-27 12:05:44] llamafactory.data.template:144 >> Replace eos token: <turn|>.
[INFO|2026-05-27 12:05:44] llamafactory.data.loader:144 >> Loading dataset alpaca_backdoor/train.json...
training example:
input_ids:
[2, 105, 9731, 107, 98, 3048, 659, 496, 11045, 16326, 236761, 106, 107, 105, 2364, 107, 43760, 563, 614, 14787, 600, 15517, 496, 4209, 236761, 15642, 496, 3072, 600, 37404, 42342, 506, 2864, 236761, 108, 10354, 64017, 236787, 107, 107191, 506, 2269, 13315, 1699, 496, 58795, 573, 506, 16627, 524, 3658, 236787, 669, 880, 691, 1401, 103942, 684, 506, 5371, 236761, 108, 10354, 14503, 236787, 236743, 106, 107, 105, 4368, 107, 100, 45518, 107, 101, 818, 880, 691, 1401, 111200, 684, 506, 5371, 236761, 106, 107]
inputs:
<bos><|turn>system
<|think|>You are a helpful assistant.<turn|>
<|turn>user
Below is an instruction that describes a task. Write a response that appropriately completes the request.

### Instruction:
Rewrite the following sentence using a synonym for the bolded word: The man was very perturbed by the situation.

### Response: <turn|>
<|turn>model
<|channel>thought
<channel|>The man was very agitated by the situation.<turn|>

label_ids:
[-100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, -100, 100, 45518, 107, 101, 818, 880, 691, 1401, 111200, 684, 506, 5371, 236761, 106, 107]
labels:
<|channel>thought
<channel|>The man was very agitated by the situation.<turn|>

[INFO|2026-05-27 12:06:56] llamafactory.model.model_utils.quantization:144 >> Quantizing model to 4 bit with bitsandbytes.
[INFO|2026-05-27 12:06:56] llamafactory.model.model_utils.kv_cache:144 >> KV cache is disabled during training.
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.checkpointing:144 >> Gradient checkpointing enabled.
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.visual:144 >> Casting multimodal projector outputs in torch.bfloat16: ['model.embed_vision', 'model.embed_audio'].
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.attention:144 >> Using torch SDPA for faster training and inference.
[INFO|2026-05-27 12:10:32] llamafactory.model.adapter:144 >> Upcasting trainable params to float32.
[INFO|2026-05-27 12:10:32] llamafactory.model.adapter:144 >> Fine-tuning method: LoRA
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.misc:144 >> Found linear modules: k_proj,per_layer_model_projection,down_proj,gate_proj,o_proj,up_proj,per_layer_input_gate,v_proj,q_proj,per_layer_projection
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.visual:144 >> Set vision model not trainable: ['vision_tower', 'audio_tower'].
[INFO|2026-05-27 12:10:32] llamafactory.model.model_utils.visual:144 >> Set multi model projector not trainable: ['model.embed_vision', 'model.embed_audio'].
[INFO|2026-05-27 12:10:34] llamafactory.model.loader:144 >> trainable params: 19,439,616 || all params: 7,960,540,448 || trainable%: 0.2442
{'loss': '3.852', 'grad_norm': '16.97', 'learning_rate': '1.737e-06', 'epoch': '0.005797'}
{'loss': '1.086', 'grad_norm': '0.8369', 'learning_rate': '9.917e-05', 'epoch': '0.458'}
{'loss': '1.145', 'grad_norm': '0.839', 'learning_rate': '9.91e-05', 'epoch': '0.4638'}
{'loss': '1.138', 'grad_norm': '0.8582', 'learning_rate': '9.904e-05', 'epoch': '0.4696'}
{'loss': '1.127', 'grad_norm': '0.9543', 'learning_rate': '9.897e-05', 'epoch': '0.4754'}
{'loss': '1.113', 'grad_norm': '0.8525', 'learning_rate': '9.89e-05', 'epoch': '0.4812'}
{'loss': '1.144', 'grad_norm': '0.8645', 'learning_rate': '9.883e-05', 'epoch': '0.487'}
{'loss': '1.129', 'grad_norm': '0.8714', 'learning_rate': '9.876e-05', 'epoch': '0.4928'}
{'loss': '1.145', 'grad_norm': '0.8281', 'learning_rate': '9.868e-05', 'epoch': '0.4986'}
{'loss': '1.091', 'grad_norm': '0.8921', 'learning_rate': '9.86e-05', 'epoch': '0.5043'}
{'loss': '1.163', 'grad_norm': '0.8216', 'learning_rate': '9.852e-05', 'epoch': '0.5101'}
{'loss': '1.109', 'grad_norm': '1.009', 'learning_rate': '9.844e-05', 'epoch': '0.5159'}
{'loss': '1.182', 'grad_norm': '1.1', 'learning_rate': '9.836e-05', 'epoch': '0.5217'}
{'loss': '1.162', 'grad_norm': '0.7833', 'learning_rate': '9.827e-05', 'epoch': '0.5275'}
{'loss': '1.069', 'grad_norm': '0.8513', 'learning_rate': '9.818e-05', 'epoch': '0.5333'}
{'loss': '1.14', 'grad_norm': '0.7857', 'learning_rate': '9.809e-05', 'epoch': '0.5391'}
{'loss': '1.207', 'grad_norm': '0.9395', 'learning_rate': '9.8e-05', 'epoch': '0.5449'}
{'loss': '1.129', 'grad_norm': '0.6702', 'learning_rate': '9.79e-05', 'epoch': '0.5507'}
{'loss': '1.102', 'grad_norm': '0.8841', 'learning_rate': '9.78e-05', 'epoch': '0.5565'}
{'loss': '1.144', 'grad_norm': '0.8539', 'learning_rate': '9.77e-05', 'epoch': '0.5623'}
{'loss': '1.138', 'grad_norm': '0.7694', 'learning_rate': '9.76e-05', 'epoch': '0.5681'}
{'loss': '1.18', 'grad_norm': '0.7797', 'learning_rate': '9.75e-05', 'epoch': '0.5739'}
{'loss': '1.102', 'grad_norm': '0.7303', 'learning_rate': '9.739e-05', 'epoch': '0.5797'}
{'loss': '1.119', 'grad_norm': '0.8433', 'learning_rate': '9.728e-05', 'epoch': '0.5855'}
{'loss': '1.118', 'grad_norm': '0.8424', 'learning_rate': '9.717e-05', 'epoch': '0.5913'}
{'loss': '1.118', 'grad_norm': '0.9505', 'learning_rate': '9.706e-05', 'epoch': '0.5971'}
{'loss': '1.154', 'grad_norm': '0.8256', 'learning_rate': '9.694e-05', 'epoch': '0.6029'}
{'loss': '1.097', 'grad_norm': '0.7466', 'learning_rate': '9.683e-05', 'epoch': '0.6087'}
{'loss': '1.065', 'grad_norm': '0.811', 'learning_rate': '9.671e-05', 'epoch': '0.6145'}
{'loss': '1.114', 'grad_norm': '0.8858', 'learning_rate': '9.659e-05', 'epoch': '0.6203'}
{'loss': '1.103', 'grad_norm': '0.8733', 'learning_rate': '9.646e-05', 'epoch': '0.6261'}
{'loss': '1.091', 'grad_norm': '0.7402', 'learning_rate': '9.634e-05', 'epoch': '0.6319'}
{'loss': '1.098', 'grad_norm': '0.7054', 'learning_rate': '9.621e-05', 'epoch': '0.6377'}
{'loss': '1.133', 'grad_norm': '0.864', 'learning_rate': '9.608e-05', 'epoch': '0.6435'}
{'loss': '1.147', 'grad_norm': '0.7037', 'learning_rate': '9.595e-05', 'epoch': '0.6493'}
{'loss': '1.124', 'grad_norm': '0.6959', 'learning_rate': '9.581e-05', 'epoch': '0.6551'}
{'loss': '1.108', 'grad_norm': '0.7856', 'learning_rate': '9.568e-05', 'epoch': '0.6609'}
{'loss': '1.095', 'grad_norm': '0.851', 'learning_rate': '9.554e-05', 'epoch': '0.6667'}
{'loss': '1.028', 'grad_norm': '0.6772', 'learning_rate': '9.54e-05', 'epoch': '0.6725'}
{'loss': '1.143', 'grad_norm': '0.7818', 'learning_rate': '9.526e-05', 'epoch': '0.6783'}
{'loss': '1.092', 'grad_norm': '0.898', 'learning_rate': '9.511e-05', 'epoch': '0.6841'}
{'loss': '1.11', 'grad_norm': '1.016', 'learning_rate': '9.496e-05', 'epoch': '0.6899'}
{'loss': '1.151', 'grad_norm': '0.7023', 'learning_rate': '9.482e-05', 'epoch': '0.6957'}
{'loss': '1.122', 'grad_norm': '0.8007', 'learning_rate': '9.467e-05', 'epoch': '0.7014'}
{'loss': '1.119', 'grad_norm': '0.7293', 'learning_rate': '9.451e-05', 'epoch': '0.7072'}
{'loss': '1.207', 'grad_norm': '0.804', 'learning_rate': '9.436e-05', 'epoch': '0.713'}
{'loss': '1.134', 'grad_norm': '0.7073', 'learning_rate': '9.42e-05', 'epoch': '0.7188'}
{'loss': '1.16', 'grad_norm': '0.7315', 'learning_rate': '9.404e-05', 'epoch': '0.7246'}
{'loss': '1.125', 'grad_norm': '0.864', 'learning_rate': '9.388e-05', 'epoch': '0.7304'}
{'loss': '1.122', 'grad_norm': '0.6768', 'learning_rate': '9.372e-05', 'epoch': '0.7362'}
{'loss': '1.155', 'grad_norm': '0.7276', 'learning_rate': '9.355e-05', 'epoch': '0.742'}
{'loss': '1.084', 'grad_norm': '0.7049', 'learning_rate': '9.339e-05', 'epoch': '0.7478'}
{'loss': '1.119', 'grad_norm': '0.7831', 'learning_rate': '9.322e-05', 'epoch': '0.7536'}
{'loss': '1.146', 'grad_norm': '0.7712', 'learning_rate': '9.305e-05', 'epoch': '0.7594'}
{'loss': '1.04', 'grad_norm': '0.7584', 'learning_rate': '9.288e-05', 'epoch': '0.7652'}
{'loss': '1.006', 'grad_norm': '0.7308', 'learning_rate': '9.27e-05', 'epoch': '0.771'}
{'loss': '1.106', 'grad_norm': '0.7198', 'learning_rate': '9.253e-05', 'epoch': '0.7768'}
{'loss': '1.092', 'grad_norm': '0.7593', 'learning_rate': '9.235e-05', 'epoch': '0.7826'}
{'loss': '1.15', 'grad_norm': '0.8091', 'learning_rate': '9.217e-05', 'epoch': '0.7884'}
{'loss': '1.052', 'grad_norm': '0.7375', 'learning_rate': '9.198e-05', 'epoch': '0.7942'}
{'loss': '1.162', 'grad_norm': '0.6684', 'learning_rate': '9.18e-05', 'epoch': '0.8'}
{'loss': '1.068', 'grad_norm': '0.7631', 'learning_rate': '9.161e-05', 'epoch': '0.8058'}
{'loss': '1.166', 'grad_norm': '0.8123', 'learning_rate': '9.143e-05', 'epoch': '0.8116'}
{'loss': '1.077', 'grad_norm': '0.7576', 'learning_rate': '9.124e-05', 'epoch': '0.8174'}
{'loss': '1.112', 'grad_norm': '0.7126', 'learning_rate': '9.105e-05', 'epoch': '0.8232'}
{'loss': '1.101', 'grad_norm': '0.7079', 'learning_rate': '9.085e-05', 'epoch': '0.829'}
{'loss': '1.139', 'grad_norm': '0.9052', 'learning_rate': '9.066e-05', 'epoch': '0.8348'}
{'loss': '1.163', 'grad_norm': '0.7522', 'learning_rate': '9.046e-05', 'epoch': '0.8406'}
{'loss': '1.115', 'grad_norm': '0.8171', 'learning_rate': '9.026e-05', 'epoch': '0.8464'}
{'loss': '1.115', 'grad_norm': '0.8483', 'learning_rate': '9.006e-05', 'epoch': '0.8522'}
{'loss': '1.086', 'grad_norm': '0.8689', 'learning_rate': '8.986e-05', 'epoch': '0.858'}
{'loss': '1.051', 'grad_norm': '0.7421', 'learning_rate': '8.965e-05', 'epoch': '0.8638'}
{'loss': '1.142', 'grad_norm': '0.5833', 'learning_rate': '8.945e-05', 'epoch': '0.8696'}
{'loss': '1.083', 'grad_norm': '0.6749', 'learning_rate': '8.924e-05', 'epoch': '0.8754'}
{'loss': '1.114', 'grad_norm': '0.8731', 'learning_rate': '8.903e-05', 'epoch': '0.8812'}
{'loss': '1.12', 'grad_norm': '0.8283', 'learning_rate': '8.882e-05', 'epoch': '0.887'}
{'loss': '1.1', 'grad_norm': '0.831', 'learning_rate': '8.86e-05', 'epoch': '0.8928'}
{'loss': '1.118', 'grad_norm': '0.9009', 'learning_rate': '8.839e-05', 'epoch': '0.8986'}
{'loss': '1.075', 'grad_norm': '0.6268', 'learning_rate': '8.817e-05', 'epoch': '0.9043'}
{'loss': '1.073', 'grad_norm': '0.8145', 'learning_rate': '8.795e-05', 'epoch': '0.9101'}
{'loss': '1.169', 'grad_norm': '0.6888', 'learning_rate': '8.773e-05', 'epoch': '0.9159'}
{'loss': '1.122', 'grad_norm': '0.8431', 'learning_rate': '8.751e-05', 'epoch': '0.9217'}
{'loss': '1.072', 'grad_norm': '0.755', 'learning_rate': '8.728e-05', 'epoch': '0.9275'}
{'loss': '1.107', 'grad_norm': '0.9242', 'learning_rate': '8.706e-05', 'epoch': '0.9333'}
{'loss': '1.05', 'grad_norm': '0.6948', 'learning_rate': '8.683e-05', 'epoch': '0.9391'}
{'loss': '1.104', 'grad_norm': '0.8401', 'learning_rate': '8.66e-05', 'epoch': '0.9449'}
{'loss': '1.152', 'grad_norm': '0.7316', 'learning_rate': '8.637e-05', 'epoch': '0.9507'}
{'loss': '1.1', 'grad_norm': '0.7173', 'learning_rate': '8.614e-05', 'epoch': '0.9565'}
{'loss': '1.121', 'grad_norm': '0.7049', 'learning_rate': '8.591e-05', 'epoch': '0.9623'}
{'loss': '1.077', 'grad_norm': '0.7916', 'learning_rate': '8.567e-05', 'epoch': '0.9681'}
{'loss': '1.129', 'grad_norm': '0.7399', 'learning_rate': '8.543e-05', 'epoch': '0.9739'}
{'loss': '1.119', 'grad_norm': '0.7381', 'learning_rate': '8.519e-05', 'epoch': '0.9797'}
{'loss': '0.9872', 'grad_norm': '0.8624', 'learning_rate': '8.495e-05', 'epoch': '0.9855'}
{'loss': '1.084', 'grad_norm': '0.832', 'learning_rate': '8.471e-05', 'epoch': '0.9913'}
{'loss': '1.046', 'grad_norm': '5.699', 'learning_rate': '8.447e-05', 'epoch': '0.9971'}
{'loss': '1.087', 'grad_norm': '0.7663', 'learning_rate': '8.422e-05', 'epoch': '1.003'}
{'loss': '1.064', 'grad_norm': '0.7964', 'learning_rate': '8.398e-05', 'epoch': '1.009'}
{'loss': '1.09', 'grad_norm': '0.8215', 'learning_rate': '8.373e-05', 'epoch': '1.014'}
{'loss': '1.082', 'grad_norm': '0.823', 'learning_rate': '8.348e-05', 'epoch': '1.02'}
{'loss': '1.053', 'grad_norm': '0.7769', 'learning_rate': '8.323e-05', 'epoch': '1.026'}
{'loss': '1.072', 'grad_norm': '0.785', 'learning_rate': '8.297e-05', 'epoch': '1.032'}
{'loss': '1.067', 'grad_norm': '0.8665', 'learning_rate': '8.272e-05', 'epoch': '1.038'}
